Config CF source;Confluence source;Config CF sink;Confluence sink;Config OA;OA;Config DFP left;DFP left;Config DFP right;DFP right;Config PDG left;PDG left;Config PDG right;PDG right
"3.95300s
";"2.07000s
";"2.80300s
";"0.24200s
";"4.02200s
";"4.65500s
";"3.64200s
";"5.40100s
";"3.23900s
";"3.06000s
";"2.86900s
";"1.10800s
";"3.96200s
";"1.21600s
"
"0.82700s
";"0.60600s
";"0.32800s
";"0.21100s
";"1.12300s
";"1.26000s
";"1.09300s
";"0.74100s
";"1.08500s
";"0.82200s
";"1.07300s
";"0.74700s
";"1.08100s
";"0.78100s
"
"2.11800s
";"1.94300s
";"1.05900s
";"0.63200s
";"2.02000s
";"2793.15100s
";"1.98100s
";"3.14000s
";"1.90800s
";"2.89400s
";"1.93400s
";"1.61900s
";"1.97300s
";"1.26200s
"
"0.81400s
";"0.66200s
";"0.24100s
";"0.08100s
";"1.00100s
";"1.22100s
";"0.94900s
";"1.04900s
";"0.95800s
";"0.75700s
";"1.02800s
";"0.75800s
";"0.96500s
";"0.85900s
"
"0.87700s
";"1.02700s
";"0.33500s
";"0.21000s
";"1.17500s
";"1.60300s
";"1.00500s
";"2.11500s
";"1.00300s
";"1.84500s
";"0.94700s
";"0.98600s
";"0.97100s
";"0.97700s
"
"20.26700s
";"15.01300s
";"16.74500s
";"2.41200s
";"18.10600s
";"21.35600s
";"18.95400s
";"74.02300s
";"18.94700s
";"2.14200s
";"18.00200s
";"4.09100s
";"19.45100s
";"4.41600s
"
"2.37400s
";"17.02600s
";"0.87000s
";"16.22200s
";"1.90000s
";"20.54600s
";"2.35000s
";"56.48900s
";"2.25900s
";"108.77600s
";"1.87000s
";"2.49600s
";"1.83300s
";"2.53000s
"
"1.40100s
";"1.36900s
";"0.93500s
";"0.46100s
";"2.07000s
";"3.26700s
";"2.02600s
";"3.42200s
";"1.84600s
";"2.38400s
";"1.41500s
";"3.40900s
";"2.00300s
";"3.37400s
"
"0.93500s
";"0.57100s
";"0.31200s
";"0.09800s
";"0.97300s
";"1.18200s
";"0.98400s
";"0.96200s
";"1.01400s
";"0.90600s
";"0.93600s
";"0.63600s
";"1.10400s
";"0.61600s
"
"0.85700s
";"0.57000s
";"0.28700s
";"0.10800s
";"0.89600s
";"1.04500s
";"0.85000s
";"0.57200s
";"0.89800s
";"0.58100s
";"0.84300s
";"0.69800s
";"0.85300s
";"0.72900s
"
"1.09200s
";"0.93000s
";"0.48300s
";"0.07600s
";"1.10100s
";"1.27700s
";"1.10000s
";"0.97700s
";"1.23500s
";"0.96400s
";"1.10400s
";"0.81900s
";"1.06800s
";"0.67900s
"
"1.02000s
";"0.57000s
";"0.43400s
";"0.03400s
";"1.04100s
";"1.13300s
";"1.04600s
";"0.55800s
";"1.11500s
";"0.56400s
";"1.11500s
";"0.57700s
";"1.01800s
";"0.55300s
"
"1.06000s
";"1.43500s
";"0.42300s
";"0.54600s
";"1.09600s
";"1.74200s
";"1.04900s
";"2.32700s
";"1.05600s
";"2.44500s
";"1.12500s
";"2.11600s
";"1.08800s
";"2.32800s
"
"1.13600s
";"0.89600s
";"0.39600s
";"0.17000s
";"1.18900s
";"1.33600s
";"1.23900s
";"0.92000s
";"1.18100s
";"0.77700s
";"1.07800s
";"0.97100s
";"1.10400s
";"0.97600s
"
"1.05500s
";"1.49700s
";"0.42800s
";"0.75600s
";"1.08900s
";"1.79700s
";"1.08200s
";"2.12200s
";"1.05500s
";"2.33400s
";"1.05000s
";"2.13900s
";"1.04700s
";"2.10500s
"
"0.99900s
";"0.77000s
";"0.33600s
";"0.19200s
";"1.03300s
";"1.17500s
";"1.03200s
";"1.11100s
";"1.04900s
";"1.26200s
";"1.11000s
";"1.03600s
";"1.12400s
";"1.03400s
"
"1.10100s
";"1.07100s
";"0.36000s
";"0.20100s
";"1.12500s
";"1.28600s
";"1.13000s
";"1.50900s
";"1.00200s
";"1.44900s
";"0.99600s
";"1.06800s
";"0.99800s
";"1.02200s
"
"1.07500s
";"0.76300s
";"0.37900s
";"0.13700s
";"1.15300s
";"1.32400s
";"1.15600s
";"2.43900s
";"1.11000s
";"2.35300s
";"1.07100s
";"0.83400s
";"1.07500s
";"0.88100s
"
"1.13000s
";"0.73200s
";"0.39000s
";"0.07400s
";"1.11200s
";"1.36700s
";"1.11900s
";"0.70700s
";"1.15300s
";"0.56900s
";"1.08700s
";"0.86000s
";"1.21100s
";"0.87900s
"
"1.04200s
";"0.80100s
";"0.44200s
";"0.17400s
";"1.12600s
";"1.32000s
";"1.10300s
";"0.91100s
";"1.22600s
";"0.95300s
";"1.04600s
";"0.73000s
";"1.02500s
";"0.70600s
"
"1.03400s
";"0.79500s
";"0.42800s
";"0.09900s
";"1.04700s
";"1.21600s
";"0.99600s
";"0.77300s
";"1.09000s
";"0.91300s
";"1.13800s
";"0.95900s
";"1.00100s
";"0.77600s
"
"1.06100s
";"0.91100s
";"0.45800s
";"0.09700s
";"1.18500s
";"1.35100s
";"1.20200s
";"0.81300s
";"1.07200s
";"0.68100s
";"1.14500s
";"0.74700s
";"1.04700s
";"0.74600s
"
"1.07500s
";"0.77700s
";"0.42600s
";"0.10100s
";"1.09400s
";"1.21800s
";"1.04800s
";"0.85800s
";"1.04700s
";"0.85100s
";"1.07100s
";"0.97800s
";"1.12100s
";"0.98800s
"
"1.07900s
";"0.79800s
";"0.46100s
";"0.11900s
";"1.03900s
";"1.21500s
";"1.00000s
";"0.57500s
";"1.01100s
";"0.55100s
";"1.09500s
";"0.73600s
";"0.99100s
";"0.70500s
"
"1.27500s
";"0.73700s
";"0.54900s
";"0.08000s
";"1.31700s
";"1.50300s
";"1.29700s
";"0.64800s
";"1.28800s
";"0.66800s
";"1.27800s
";"0.78000s
";"1.28000s
";"0.80300s
"
"0.89100s
";"0.54700s
";"0.32400s
";"0.10500s
";"0.94600s
";"1.04500s
";"0.89600s
";"0.51900s
";"0.87200s
";"0.48700s
";"0.88300s
";"0.61300s
";"0.88700s
";"0.62300s
"
"0.89600s
";"0.64700s
";"0.31500s
";"0.16000s
";"0.93700s
";"1.04700s
";"0.90400s
";"0.66300s
";"0.97200s
";"0.63200s
";"0.89100s
";"0.83900s
";"0.89100s
";"0.87900s
"
"0.89500s
";"0.63900s
";"0.33700s
";"0.08100s
";"0.93600s
";"1.03300s
";"0.99700s
";"0.62100s
";"0.96300s
";"0.57900s
";"0.93200s
";"0.78800s
";"0.99400s
";"0.81600s
"
"0.96000s
";"0.61300s
";"0.31200s
";"0.07000s
";"0.93400s
";"1.01100s
";"0.91000s
";"0.60500s
";"0.90000s
";"0.62200s
";"0.96500s
";"0.80500s
";"0.91200s
";"0.69200s
"
"0.88200s
";"0.53400s
";"0.30100s
";"0.06400s
";"0.92500s
";"1.02200s
";"0.90600s
";"0.54700s
";"0.88200s
";"0.54600s
";"0.87800s
";"0.61600s
";"0.87600s
";"0.60900s
"
"0.88100s
";"0.21900s
";"0.34000s
";"0.50200s
";"0.93400s
";"1.00300s
";"0.87800s
";"0.24200s
";"0.91900s
";"0.52800s
";"0.93300s
";"0.27600s
";"0.87700s
";"0.79400s
"
"0.90900s
";"0.22100s
";"0.34600s
";"0.37900s
";"0.94900s
";"1.01900s
";"0.91600s
";"0.21800s
";"0.90800s
";"0.47800s
";"0.90200s
";"0.24200s
";"0.97100s
";"0.73900s
"
"1.00600s
";"0.62200s
";"0.36900s
";"0.00700s
";"1.00000s
";"1.09000s
";"1.03400s
";"0.56000s
";"1.02300s
";"0.21600s
";"1.05000s
";"0.58800s
";"0.96300s
";"0.25800s
"
